hash, header, nMess, nObs, complete, center, table, edition, category , problem,
Oxda41f28b, JUGE86 KKCI,10,10, false,7.8, 0.12.0,3,13.1,exception,nesting
Oxda42c8e4, JUHE00 KKCI,5,5, false,7.8, 0.12.0,3,13.2,exception,nesting
Oxda439f3d, JUIE00 KKCI,5,5, false,7.8, 0.12.0,3,13.3,exception,nesting
Ox4438144a, JUSA41 KWNO,77520,439280, false,7.3, 0.12.0,3,241,,
Oxd2cf0e5c, ISAI01 SBBR,243,9792, false,255, 0.13.0,3,0,bitCount,brasil - probably override standard table. 
Oxfa179aa4, IUST53 KWBC,106,375, true,8, 0.13.0,3,2,bitCount,NWS error
Ox348304f4, IUSV53 KWBC,106,375, true,8, 0.13.0,3,2,bitCount,NWS error
Oxf0bd66bc, IUSZ54 KWBC,105,352, true,8, 0.13.0,3,2,bitCount,NWS error
Oxa3cf9007, JUTX52 KNES,23,1150, true,160, 0.11.0,3,5.89,bitCount,may have extra bytes at end - reads ok
Oxa8138fa6, JUSA41 KWBC,26040,317688, false,7.3, 0.12.0,3,243,,
Oxd508900d, INAC14 RJTD,498,73110, true,34.24, 0.13.0,4, 3.3.3 ,,
Oxd50c4ef5, INAS08 NZGP,237,34740, true,204.101, 0.13.0,4, 3.3.3 ,,
Oxd508ac41, INAX01 BAWX,156,57030, true,39.225, 0.13.0,4, 3.3.3 ,,
Oxd508d3bd, INAX04 SBBR,351,51090, true,46.1, 0.13.0,4, 3.3.3 ,,
Oxd507db8d, INAX06 AMMC,1526,224130, true,2.214, 0.13.0,4, 3.3.3 ,,
Oxd508b1e5, INAX18 RKSL,228,33360, true,40.245, 0.12.0,4, 3.3.3 ,,
Oxd5096666, INBC29 RJTD,496,221850, true,34.24, 0.13.0,4, 3.4.4 ,,
Oxd50d254e, INBS11 NZGP,677,303120, true,204.101, 0.13.0,4, 3.4.4 ,,
Oxd509883e, INBX08 RKSL,428,190980, true,40.245, 0.12.0,4, 3.4.4 ,,
Oxd509aa16, INBX09 SBBR,589,263160, true,46.11, 0.13.0,4, 3.4.4 ,,
Oxd508b1e6, INBX11 AMMC,1366,611550, true,2.214, 0.13.0,4, 3.4.4 ,,
Oxd509829a, INBX16 BAWX,519,302310, true,39.225, 0.13.0,4, 3.4.4 ,,
Oxd507b9b7, INHC02 RJTD,631,174216, true,34.24, 0.13.0,4, 3.5.0 ,,
Oxd50b789f, INHS04 NZGP,291,80248, true,204.101, 0.13.0,4, 3.5.0 ,,
Oxd5070537, INHX04 AMMC,1892,521248, true,2.214, 0.13.0,4, 3.5.0 ,,
Oxd507d5eb, INHX06 BAWX,456,129808, true,39.225, 0.13.0,4, 3.5.5 ,,
Oxd507db8f, INHX14 RKSL,282,77840, true,40.245, 0.12.0,4, 3.5.0 ,,
Oxd507fd67, INHX16 SBBR,399,109984, true,46.1, 0.13.0,4, 3.5.0 ,,
Oxd5096668, INMC14 RJTD,938,420390, true,34.24, 0.13.0,4, 3.6.11 ,,
Oxd509829c, INMX11 BAWX,315,185940, true,39.225, 0.13.0,4, 3.6.6 ,,
Oxd509aa18, INMX16 SBBR,416,185940, true,46.1, 0.13.0,4, 3.6.11 ,,
Oxd5098840, INMX19 RKSL,235,105210, true,40.245, 0.12.0,4, 3.6.11 ,,
Oxd508b1e8, INMX20 AMMC,3138,1402200, true,2.201, 0.13.0,4, 3.6.11 ,,
Oxd2c5d895, ISII06 SBBR,18,86, true,255, 0.13.0,3,0.1,,
Oxd2c0b0ad, ISIN20 DAMM,24,198, true,21, 0.13.0,4, 0.1.0 ,,
Oxd2c1cab5, ISIS01 NFFN,4,60, true,71, 0.13.0,4, 0.1.1 ,,
Oxd2c24c72, ISMD01 EKMI,30,308, true,94, 0.13.0,4, 0.2.0 ,,
Oxd2c0b0ae, ISMN02 DAMM,40,222, true,21, 0.13.0,4, 0.2.0 ,,
Ox7cd7048b, ISXA02 KWNO,1179,10445, true,7.3, 0.12.0,3,12.103,,
Oxd000548c, ISXT40 KBOU,246,71208, true,59, 0.3.3,3,12,,
Ox820dde09, ISXX03 KNES,29429,2117212, true,160, 0.6.1,3,12.137,,
Oxf980db64, ISZC01 LFPW,272,66678, true,85, 0.11.0,3,12,,
Oxd6c404a1, ISZK59 EUSR,269,20713, true,210.8, 0.7.0,3,12.9,,
Oxee2861ef, ISZX01 EUMS,63,45114, false,254, 0.13.0,4, 12.255.99 ,,
Oxee264fb7, ISZX01 KNES,43,29866, false,160, 0.13.0,4, 12.255.99 ,,
Ox4c06416b, IUAA01 CWAO,1650,17694, true,53, 0.11.1,3,4.255,,
Oxd5de11d8, IUAC01 RJTD,49,10804, true,34, 0.13.0,4, 4.0.0 ,,
Oxa7ffa9e8, IUAC01 RKSL,245,3105, true,40, 0.12.0,4, 4.0.0 ,,
Ox77045d1c, IUAD02 VHHH,1,1, true,110, 0.11.1,3,4.4,,
Ox20d0ef, IUAE01 EGRR,3023,25331, true,74.255, 0.2.1,2,4.255,,
Oxf54af6ff, IUAK01 PANC,115,676, true,59, 0.3.1,3,2.7,,
Ox6e83a676, IUCN51 RJTD,192,75730, true,34, 0.8.0,3,5,,
Oxd45b1744, IUKC01 VHHH,16,36, true,255, 0.12.0,4, 2.4.255 ,,
Oxd4576eec, IUKD01 OKPR,8,8, true,89, 0.12.0,4, 2.4.255 ,,
Ox8f3c8783, IUKD81 EDZW,2,2, true,78, 0.12.0,4, 2.255.255 ,,
Oxd45b1740, IUKE02 SBBR,20,26, true,255, 0.13.0,3,2,,
Oxd4596a90, IUKE02 SBBR,10,12, true,255, 0.13.0,3,2,,
Oxd45a40e8, IUKE02 SBBR,4,4, true,255, 0.13.0,3,2,,
Oxd4557e8c, IUKK17 AMMC,237,443, true,1, 0.13.0,4, 2.4.7 ,,
Ox3d35b964, IUPC01 RJTD,69,690, true,34, 0.8.0,3,2,,
Ox3d376614, IUPC01 VHHH,22,22, true,110.255, 0.8.0,2,2,,
Ox26ae6a21, IUPD49 LFPW,82,82, true,85, 0.11.0,4, 6.1.1 ,,
Oxe1764df9, IUPN54 LFPW,94,94, true,85, 0.6.0,3,2.1,,
Ox36a5d3f0, IUPT41 KBOU,112,112, true,59, 0.3.3,3,2,,
Ox49f84c88, IUPT42 KBOU,675,675, true,59, 0.3.3,3,2,,
Ox4968e748, IUPT43 KBOU,675,675, true,59, 0.3.3,3,2,,
Oxd45638b0, IUSC01 RJTD,28,144, true,34, 0.13.0,4, 2.4.0 ,,
Oxd457a754, IUSD01 EHDB,2,2, true,99, 0.12.0,3,2.4,,
Oxd45730e0, IUSD08 EDZW,17,17, true,78, 0.12.0,4, 2.4.255 ,,
Oxd457585c, IUSN16 LFPW,8,8, true,85, 0.13.0,4, 2.4.0 ,,
Ox13ce8e54, IUST51 KWBC,106,415, true,8, 0.13.0,3,2,,
Ox13cf3454, IUST52 KWBC,103,397, true,8, 0.13.0,3,2,,
Oxf1c60bbc, IUST54 KWBC,105,352, true,8, 0.13.0,3,2,,
Ox54b15d54, IUST56 KWBC,172,594, true,8, 0.13.0,3,2,,
Ox89077ea4, IUSV51 KWBC,106,415, true,8, 0.13.0,3,2,,
Oxc29d02c, IUSV52 KWBC,103,397, true,8, 0.13.0,3,2,,
Oxac302a5c, IUSV54 KWBC,105,352, true,8, 0.13.0,3,2,,
Oxb8483d9, IUSX40 EDZW,7,7, true,78, 0.13.0,4, 2.5.255 ,,
Ox6ba1f04, IUSZ51 KWBC,106,415, true,8, 0.13.0,3,2,,
Oxd429388c, IUSZ52 KWBC,103,397, true,8, 0.13.0,3,2,,
Oxcb154d54, IUSZ53 KWBC,106,375, true,8, 0.13.0,3,2,,
Ox240f1674, IUSZ56 KWBC,344,1188, true,8, 0.13.0,3,2,,
Oxd5181f51, IUTE14 EKMI,458,458, true,94, 0.12.1,3,3.255,,
Oxeb92d1ee, IUTX07 KNES,5616,165058, true,7.3, 0.4.0,3,3.104,,
Oxd4570f05, IUWC01 VHHH,2,2, true,110, 0.13.0,4, 2.1.0 ,,
Oxf3731c4d, JACX51 KNES,3309,806989, true,160, 0.10.0,3,5.87,,
Oxd83fbaac, JSAT98 KKCI,281,281, true,7, 0.7.0,3,0,,
Oxceef2f2c, JSMF10 KWNO,184,907925, true,7.255, 0.2.0,2,0,,
Ox6a5b216c, JSML10 KWNO,50,297594, true,7.255, 0.2.0,2,0,,
Oxda54cd4, JSMT30 KWNO,16,228020, true,7.255, 0.2.0,2,0,,
Ox695502e4, JSMT60 KWNO,20,42749, true,7.255, 0.2.0,2,0,,
Ox298bb904, JSMT71 KWNH,12,7680, true,7.255, 0.2.0,2,0,,
Oxbfa24536, JSXX01 KNES,321,1218906, true,99, 0.0.1,3,12.122,,
Ox663eb82, JUBE99 EGRR,3,3, true,74, 0.11.1,3,7,,
Ox6627295, JUBE99 KKCI,3,3, true,7, 0.11.0,3,7.255,,
Ox3b0015f2, JUCE00 EGRR,6,6, true,74, 0.11.1,3,7,,
Ox3afe9d05, JUCE00 KKCI,6,6, true,7, 0.11.0,3,7.255,,
Ox47f86d72, JUFE00 EGRR,6,6, true,74, 0.11.1,3,7,,
Oxf289748d, JUFE00 KKCI,6,6, true,7, 0.11.0,3,7.255,,
Oxaf26ccf2, JUNE00 EGRR,1,1, true,74, 0.11.1,3,7,,
Oxad2331f2, JUNE00 EGRR,1,1, true,74, 0.11.1,3,7,,
Ox95dd435a, JUNE00 EGRR,1,1, true,74, 0.11.1,3,7,,
Ox6122de05, JUNE00 KKCI,2,2, true,7, 0.11.0,3,7.255,,
Oxe96cc26d, JUNE00 KKCI,1,1, true,7, 0.11.0,3,7.255,,
Ox95d15592, JUTE97 EGRR,6,6, true,74, 0.11.1,3,7,,
Ox95cfdca5, JUTE97 KKCI,6,6, true,7, 0.11.0,3,7.255,,
Oxf57855e, JUTX07 KNES,2008,107595, true,7.255, 0.2.0,2,3,,
Oxa65a6eaa, JUVE00 EGRR,2,2, true,74, 0.11.1,3,7,,
Oxa6b1a8ea, JUVE00 EGRR,1,1, true,74, 0.11.1,3,7,,
Ox15ee5aad, JUVE00 KKCI,3,3, true,7, 0.11.0,3,7.255,,
Ox4286aec2, JUWE96 EGRR,6,6, true,74, 0.11.1,3,7,,
Ox428535d5, JUWE96 KKCI,6,6, true,7, 0.11.0,3,7.255,,
